Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,Fraction,ml,Injection,
7.548,0.7002236,15.088,14.61571,,,,,
7.563,0.7793351,15.118,14.61615,,,,,
7.578,0.8493626,15.147,14.61682,,,,,
7.592,0.9165035,15.176,14.61749,,,,,
7.607,0.9335558,15.206,14.61792,,,,,
7.622,0.9453554,15.235,14.61822,,,,,
7.636,1.015507,15.264,14.61865,,,,,
7.651,1.087777,15.293,14.61861,,,,,
7.665,1.165614,15.323,14.61864,,,,,
7.68,1.238092,15.352,14.61906,,,,,
7.695,1.317529,15.381,14.61951,,,,,
7.709,1.393443,15.411,14.61988,,,,,
7.724,1.464316,15.44,14.62025,,,,,
7.739,1.514725,15.469,14.62067,,,,,
7.753,1.551557,15.498,14.62092,,,,,
7.768,1.610082,15.528,14.62094,,,,,
7.783,1.639912,15.557,14.62164,,,,,
7.797,1.676143,15.586,14.62257,,,,,
7.812,1.78571,15.616,14.62288,,,,,
7.827,1.871894,15.645,14.62312,,,,,
7.841,1.931307,15.674,14.62345,,,,,
7.856,2.004828,15.703,14.62347,,,,,
7.87,2.103865,15.733,14.62314,,,,,
7.885,2.191218,15.762,14.62299,,,,,
7.9,2.246261,15.791,14.62318,,,,,
7.914,2.320443,15.82,14.62284,,,,,
7.929,2.384788,15.85,14.62282,,,,,
7.944,2.465577,15.879,14.62315,,,,,
7.958,2.507389,15.908,14.62359,,,,,
7.973,2.560114,15.938,14.62393,,,,,
7.988,2.63391,15.967,14.62404,,,,,
8.002,2.690589,15.996,14.62437,,,,,
8.017,2.792697,16.025,14.6244,,,,,
8.032,2.917047,16.055,14.62437,,,,,
8.046,3.027938,16.084,14.62455,,,,,
8.061,3.175441,16.113,14.62432,,,,,
8.075,3.248328,16.143,14.62397,,,,,
8.09,3.317216,16.172,14.62383,,,,,
8.105,3.390505,16.201,14.62354,,,,,
8.119,3.41795,16.23,14.62275,,,,,
